V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,class
0.11231,0.0058590000000000005,0.007812,0.00293,0.003906,0.012695,0.075195,0.0058590000000000005,0.03418,0.003906,0.0,0.0,0.006836,0.011719,0.0,0.0,0.008789,0.001953,0.021484,0.017578,0.0,0.0,0.001953,0.0,0.012695,0.0,0.035156,0.012695,0.004883,0.012695,0.000977,0.0,0.0,0.067383,0.021484,0.0,0.0,0.087891,0.026367,0.011719,0.0,0.0,0.030273,0.022461000000000002,0.010742,0.11425999999999999,0.030273,0.0,0.0058590000000000005,0.000977,0.0,0.0,0.000977,0.010742,0.00293,0.0,0.027344,0.0,0.004883,0.0,0.0,0.0,0.009766,0.099609,54
0.009766,0.00293,0.0,0.07910199999999999,0.0,0.0,0.006836,0.0,0.003906,0.070312,0.000977,0.0,0.0,0.0,0.00293,0.0,0.016602000000000002,0.000977,0.069336,0.007812,0.0,0.0,0.009766,0.046875,0.027344,0.071289,0.022461000000000002,0.0,0.013672,0.0,0.015625,0.0,0.10645,0.000977,0.0,0.0,0.054688,0.001953,0.038086,0.078125,0.027344,0.0,0.035156,0.001953,0.008789,0.0,0.010742,0.0,0.000977,0.006836,0.001953,0.0,0.040039,0.015625,0.0,0.0,0.013672,0.012695,0.020508000000000002,0.011719,0.0,0.024413999999999998,0.0,0.008789,95
0.004883,0.004883,0.00293,0.03418,0.020508000000000002,0.000977,0.0058590000000000005,0.016602000000000002,0.004883,0.010742,0.07421900000000001,0.0,0.00293,0.028319999999999998,0.009766,0.0,0.001953,0.004883,0.040039,0.011719,0.0,0.018555000000000002,0.001953,0.019531,0.021484,0.0625,0.0058590000000000005,0.0,0.049805,0.012695,0.035156,0.004883,0.013672,0.006836,0.006836,0.0,0.025391,0.010742,0.020508000000000002,0.03125,0.001953,0.001953,0.037108999999999996,0.001953,0.0,0.00293,0.017578,0.0,0.011719,0.045898,0.039062,0.012695,0.03418,0.026367,0.003906,0.0,0.006836,0.019531,0.030273,0.006836,0.0,0.060547000000000004,0.001953,0.008789,6
0.0,0.0,0.0,0.0,0.0,0.006836,0.0,0.0,0.010742,0.0,0.016602000000000002,0.0,0.000977,0.000977,0.080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293,0.0,0.024413999999999998,0.0,0.0,0.001953,0.0,0.001953,0.0,0.054688,0.0,0.0,0.0,0.23926,0.0,0.0,0.0,0.004883,0.000977,0.0,0.0,0.0,0.0,0.0,0.0,0.013672,0.006836,0.019531,0.0,0.008789,0.0,0.0,0.0,0.0,0.025391,0.0,0.41602,0.0,0.05859400000000001,0.003906,0.0,12
0.0,0.0,0.0,0.049805,0.0,0.001953,0.0,0.0,0.003906,0.0,0.15918,0.0,0.004883,0.017578,0.0,0.000977,0.000977,0.0,0.0,0.000977,0.0,0.040039,0.0,0.000977,0.0,0.1084,0.0,0.0,0.006836,0.0058590000000000005,0.00293,0.003906,0.057616999999999995,0.0,0.000977,0.0,0.072266,0.0,0.0,0.0,0.0,0.006836,0.0,0.0,0.0,0.0,0.000977,0.0,0.026367,0.027344,0.09277300000000001,0.03418,0.086914,0.00293,0.0,0.0,0.0,0.022461000000000002,0.007812,0.00293,0.0,0.12402,0.024413999999999998,0.0,98
0.007812,0.03125,0.0058590000000000005,0.0,0.19434,0.0,0.009766,0.033202999999999996,0.0,0.0,0.0,0.083984,0.0,0.0,0.0,0.0,0.0,0.000977,0.000977,0.003906,0.0,0.0,0.059570000000000005,0.0,0.0,0.0,0.0058590000000000005,0.008789,0.0,0.0,0.0,0.0,0.0,0.091797,0.0,0.0,0.0,0.046875,0.000977,0.0,0.0,0.0,0.003906,0.0058590000000000005,0.023438,0.041992,0.007812,0.24902,0.0,0.0,0.0,0.0,0.0,0.000977,0.072266,0.0,0.006836,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,86
0.011719,0.0,0.018555000000000002,0.009766,0.009766,0.0,0.026367,0.021484,0.003906,0.003906,0.06347699999999999,0.0,0.0,0.008789,0.0,0.0,0.000977,0.0,0.023438,0.016602000000000002,0.0,0.046875,0.001953,0.000977,0.001953,0.032227,0.045898,0.001953,0.013672,0.004883,0.018555000000000002,0.013672,0.001953,0.019531,0.010742,0.0,0.000977,0.038086,0.012695,0.006836,0.00293,0.0,0.037108999999999996,0.10547000000000001,0.0,0.046875,0.033202999999999996,0.001953,0.011719,0.022461000000000002,0.059570000000000005,0.004883,0.013672,0.039062,0.007812,0.012695,0.001953,0.0058590000000000005,0.018555000000000002,0.0,0.0,0.040039,0.0,0.041992,97
0.000977,0.007812,0.0,0.009766,0.001953,0.0,0.00293,0.000977,0.0,0.000977,0.11914000000000001,0.0,0.001953,0.010742,0.056641,0.013672,0.004883,0.0,0.008789,0.008789,0.001953,0.038086,0.012695,0.004883,0.0,0.026367,0.001953,0.0,0.017578,0.001953,0.023438,0.019531,0.000977,0.0,0.0,0.004883,0.003906,0.00293,0.003906,0.003906,0.0,0.007812,0.006836,0.0,0.001953,0.000977,0.011719,0.0,0.024413999999999998,0.018555000000000002,0.18164,0.03125,0.030273,0.010742,0.0,0.037108999999999996,0.0,0.086914,0.042969,0.004883,0.0,0.078125,0.001953,0.00293,8
0.009766,0.010742,0.010742,0.0,0.07910199999999999,0.007812,0.036133,0.020508000000000002,0.032227,0.0,0.0,0.054688,0.000977,0.020508000000000002,0.0,0.0,0.0058590000000000005,0.0,0.017578,0.014648,0.0,0.0,0.046875,0.000977,0.0,0.0,0.0,0.003906,0.012695,0.004883,0.041016000000000004,0.0,0.0,0.03125,0.006836,0.0,0.0,0.064453,0.0,0.013672,0.0,0.0,0.00293,0.010742,0.06347699999999999,0.011719,0.013672,0.046875,0.007812,0.010742,0.0,0.0,0.000977,0.037108999999999996,0.18945,0.0,0.03418,0.0,0.018555000000000002,0.0,0.0,0.0,0.0,0.003906,37
0.0058590000000000005,0.001953,0.040039,0.001953,0.041016000000000004,0.0,0.001953,0.023438,0.0,0.003906,0.016602000000000002,0.033202999999999996,0.016602000000000002,0.0058590000000000005,0.003906,0.004883,0.0,0.004883,0.000977,0.014648,0.010742,0.015625,0.0,0.0,0.013672,0.0,0.007812,0.03418,0.008789,0.023438,0.001953,0.072266,0.0,0.016602000000000002,0.03125,0.067383,0.0,0.025391,0.008789,0.006836,0.000977,0.020508000000000002,0.010742,0.017578,0.003906,0.049805,0.023438,0.028319999999999998,0.010742,0.003906,0.022461000000000002,0.006836,0.0058590000000000005,0.00293,0.039062,0.081055,0.004883,0.011719,0.017578,0.0,0.030273,0.00293,0.001953,0.036133,80
